Country Code,Country Name,Year,"Foreign direct investment, net inflows (BoP, current US$)",Total reserves (gold + US$),Consumer Price,Time required to start a business (days),Total tax and contribution rate (PCT of profit),Final Consumption Expenditure,Exports of goods and services (PCT of GDP),Imports of goods and services (PCT of GDP),Gross Domestic Product,GDP Growth,GNI Per Capita,Gross Savings,"Primary completion rate, total (PCT of relevant age group)",Expenditure Education,Unemployment,"Intentional homicides (per 100,000 people)",Access Elect.,Basic Sanitation,Population Density,Maternal Mortality,Refugee population by country or territory of asylum,Refugee population by country or territory of origin,Research and development expenditure (PCT of GDP),Mobile Subs.,"Labour force, total",Population Total,GDP per_capita,"Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Growth Rate (percentage),"Crude Birth Rate (births per 1,000 population)","Median Age, as of 1 July (years)","Life Expectancy at Birth, both sexes (years)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)","Infant Mortality Rate (infant deaths per 1,000 live births)","Infant Deaths, under age 1 (thousands)"
AFG,Afghanistan,2010,190774431.98,5162440806.75156,100.0,9.5,35.8,3.8060020325309036,41.106220644945964,45.66034798042753,15633856787.0425,14.3624414692681,520.0,24.10427712679715,83.71647644042967,3.4794499874115,11.3520002365112,3.3681096075378,42.7000007629395,46.19407916,44.1184434641424,584.0,6434.0,3054699.0,0.7927416641621845,36.23965543,6720461.0,28189672.0,1581.60083598967,914.335,32.348,2.742,40.602,14.404,60.851,-141.355,-5.001,64.838,74.117
AFG,Afghanistan,2011,52173421.0,6344641959.56008,111.804185808913,9.5,35.8,3.8060020325309036,41.106220644945964,45.66034798042753,18190410820.6235,0.426354784529209,550.0,24.10427712679715,83.71647644042967,3.4620099067688,11.0539999008179,4.08733672359819,43.2220191955566,48.17822534,45.5053135434856,536.0,3011.0,2664423.0,0.7927416641621845,47.17359546,7085822.0,29249157.0,1660.73985617959,927.172,31.924,4.603,39.855,14.679,61.419,418.796,14.42,62.276,71.92
AFG,Afghanistan,2012,56823660.0,7152304397.72645,119.005731346616,9.5,35.8,3.8060020325309036,41.106220644945964,45.66034798042753,20203572959.5023,12.7522870887171,650.0,24.10427712679715,83.71647644042967,3.3199999332428,11.3409996032715,6.25132816655284,69.0999984741211,50.1888669,47.0192047299574,496.0,16184.0,2586132.0,0.7927416641621845,50.35079702,7520865.0,30466479.0,1873.15394552307,982.767,32.298,3.574,40.009,15.011,61.923,105.905,3.481,59.97,72.314
AFG,Afghanistan,2013,48311346.0,7288702710.90529,127.795223073732,6.5,35.6,3.8060020325309036,41.106220644945964,45.66034798042753,20564485419.1684,5.60074465808154,680.0,24.10427712679715,83.71647644042967,3.45445990562439,11.1929998397827,5.91282460300783,68.2906494140625,52.22600383,48.6041233955212,459.0,16861.0,2556483.0,0.7927416641621845,53.28634042,7881567.0,31541209.0,1913.16064351328,1012.711,32.123,3.363,39.601,15.239,62.417,48.076,1.525,57.809,71.817
AFG,Afghanistan,2014,42975262.5,7528549879.63682,133.768366733582,8.5,36.1,3.8060020325309036,41.106220644945964,45.66034798042753,20550582746.8448,2.72454336394854,650.0,24.10427712679715,83.71647644042967,3.69521999359131,11.1420001983643,5.91282460300783,89.5,54.28963615,50.1761786600496,425.0,300421.0,2596259.0,0.7927416641621845,56.26314295,8285362.0,32716210.0,1937.23536533725,1033.61,31.71,3.941,39.105,15.501,62.545,255.611,7.842,56.256,71.42
AFG,Afghanistan,2015,169146608.0,6976966153.82054,132.883209191418,8.5,36.1,3.8060020325309036,41.106220644945964,45.66034798042753,19998156214.3988,1.45131466009755,610.0,24.10427712679715,83.71647644042967,3.2558000087738,11.1269998550415,9.78392178232544,71.5,56.37976384,51.6749287749288,396.0,257553.0,2666294.0,0.7927416641621845,58.39109599,8630723.0,33753499.0,1926.35733615809,1067.073,31.472,2.327,38.803,15.683,62.659,-281.739,-8.31,54.491,71.29
AFG,Afghanistan,2016,93591315.3,7281910524.1067,138.708665508891,8.5,47.9,3.8060020325309036,41.106220644945964,45.66034798042753,18019558181.9602,2.26031420130452,570.0,24.10427712679715,80.4950408935547,3.5119800567627,11.1579999923706,6.5511634561067,97.6999969482422,58.49638691,53.0834053242655,718.25,59770.0,2501447.0,0.7927416641621845,62.37109623,8913938.0,34636207.0,1944.11700491066,1070.294,30.859,2.83,37.936,15.795,63.136,-90.238,-2.602,52.454,68.973
AFG,Afghanistan,2017,51533896.765,8097280955.90196,145.610741438593,8.5,71.4,3.8060020325309036,41.106220644945964,45.66034798042753,18896352021.94,2.64700320195786,540.0,24.10427712679715,84.4149475097656,3.37331008911133,11.1800003051758,6.6784014408596,97.6999969482422,60.63950536,41.91461028488226,718.25,75927.0,2624265.0,0.7927416641621845,67.13641492,9254594.0,35643418.0,1437.8603972166295,1081.439,30.315,2.902,37.342,15.964,63.016,-47.09,-1.32,49.377,65.604
AFG,Afghanistan,2018,119435105.715177,8206682106.31946,146.522481857209,8.5,71.4,3.8060020325309036,41.106220644945964,45.66034798042753,18418848299.5825,1.18922812838034,520.0,24.10427712679715,85.6253280639648,3.19979000091553,11.1520004272461,6.65556115177472,96.6161346435547,62.80911918,41.91461028488226,718.25,72228.0,2681267.0,0.7927416641621845,59.90264778,9610077.0,36686784.0,1437.8603972166295,1099.581,29.946,2.869,36.927,16.139,63.081,-47.205,-1.286,47.835,64.649
AFG,Afghanistan,2019,23404553.647249,8497655795.34729,149.895975208032,8.5,71.4,3.8060020325309036,41.106220644945964,45.66034798042753,18904490262.913,3.911603419423,530.0,24.10427712679715,84.3305892944336,3.21377992630005,11.2170000076294,5.91282460300783,97.6999969482422,65.00522839,41.91461028488226,718.25,72227.0,2727556.0,0.7927416641621845,59.78387904,9981792.0,37769499.0,1437.8603972166295,1121.14,29.675,2.947,36.466,16.325,63.565,-8.082,-0.214,46.713,64.174
AFG,Afghanistan,2020,12970147.9832,9748946326.71795,112.71886347869925,9.0625,43.75333333333333,3.8060020325309036,41.106220644945964,45.66034798042753,20143442150.971,-2.35110067344623,500.0,24.10427712679715,83.71647644042967,2.86085939407349,11.710000038147,5.91282460300783,97.6999969482422,66.70919426,41.91461028488226,718.25,72278.0,2594827.0,0.7927416641621845,58.1902139,9105733.0,38972230.0,1437.8603972166295,1125.582,28.938,3.317,36.051,16.551,62.575,166.821,4.289,45.766,63.984
AFG,Afghanistan,2021,20600976.1,6891864988.703063,112.71886347869925,9.0625,43.75333333333333,3.8060020325309036,41.106220644945964,45.66034798042753,14786861638.4535,-20.7371456208414,390.0,24.10427712679715,83.71647644042967,3.2741661965847033,13.2829999923706,5.91282460300783,52.52048738797506,47.00383537333333,41.91461028488226,718.25,66949.0,2712858.0,0.7927416641621845,33.98631042609524,9390149.0,40099462.0,1437.8603972166295,1145.705,28.498,2.399,35.842,16.734,61.982,-183.672,-4.569,44.687,64.117
ALB,Albania,2000,143000000.0,646305676.491804,74.1382245539502,15.588235294117647,41.480000000000004,4.36542236239757,20.1152855452625,43.3387875873655,3480355258.04122,6.94621659244254,1100.0,25.8913491846552,96.5826873779297,3.4301700592041,19.0279998779297,4.18631197419442,100.0,96.93201202,112.738211678832,43.0,521.0,6801.0,0.1208449974656105,0.936229188,1318273.0,3089027.0,4029.01697070654,36.233,11.278,-0.861,17.076,26.321,75.404,-63.61,-19.799,23.945,1.322
ALB,Albania,2001,207300000.0,770581227.384293,76.442135324008,15.588235294117647,41.480000000000004,4.58971980935779,21.3334108322137,45.1576132001299,3922100793.5403,8.29331263121023,1280.0,28.9252187864385,96.3939437866211,3.45869994163513,18.5750007629395,7.0294254946399,100.0,96.97375913,111.685145985401,40.0,291.0,7627.0,0.1208449974656105,12.45080244,1304987.0,3060173.0,4457.11163824546,32.625,10.248,-0.933,16.12,26.795,75.639,-62.059,-19.494,22.778,1.177
ALB,Albania,2002,135000000.0,866478231.283188,82.3820911976625,15.588235294117647,41.480000000000004,6.95177797969677,20.9456161731319,47.5794520503068,4348068242.19512,4.53652416035675,1370.0,25.5167165764119,96.63108986302423,3.11779999732971,17.8950004577637,6.9093843834478,100.0,97.01550624,111.350729927007,37.0,18.0,10758.0,0.1208449974656105,27.24463279,1308103.0,3051010.0,4754.65369689757,29.178,9.256,-0.983,15.209,27.313,75.89,-59.876,-18.993,21.597,1.042
ALB,Albania,2003,178036400.666667,1038294231.23302,82.7808226707299,41.0,41.480000000000004,9.01466738218721,20.8473864531722,46.1731745895907,5611496257.14231,5.52863746491788,1650.0,26.2582688780353,94.4481735229492,3.13823008537292,16.9890003204346,5.32389656631122,100.0,97.05725335,110.934890510949,35.0,24.0,10382.0,0.1208449974656105,35.56428066,1294847.0,3039616.0,5114.72169545235,26.878,8.611,-0.984,14.668,27.865,76.142,-57.308,-18.362,20.346,0.935
ALB,Albania,2004,341285112.537562,1387912853.56432,84.6682412961938,40.0,41.480000000000004,3.76430751723733,22.2175607600291,44.8296265467915,7184685781.51876,5.51466791097914,2100.0,29.3848368163144,93.4377975463867,3.22751998901367,16.3099994659424,4.21914700442173,100.0,97.09900045,110.472226277372,31.0,49.0,10474.0,0.1208449974656105,41.12783099,1281167.0,3026939.0,5522.98213441617,24.085,7.797,-0.99,13.978,28.45,76.376,-54.383,-17.605,19.065,0.827
ALB,Albania,2005,262479012.637464,1439592137.1131,86.6719846178477,41.0,58.6,5.39889844703288,23.0129911473171,47.85935562815,8052073539.38058,5.52642424695465,2620.0,30.1065020174443,96.63108986302423,3.28154993057251,15.9700002670288,4.98896919473502,100.0,97.2365377,109.908284671533,30.0,53.0,12718.0,0.1208449974656105,50.45923775,1266464.0,3011487.0,5942.88400909312,21.183,6.929,-0.978,13.235,29.065,76.621,-50.855,-16.634,17.802,0.725
ALB,Albania,2006,325138316.803697,1812802559.88129,88.7267419018594,39.0,56.9,5.75219067281122,25.2096077274316,49.0574825118736,8896072918.9814,5.90265903591924,3050.0,29.0689462452266,96.63108986302423,3.1914598941803,15.6300001144409,3.10151317930892,100.0,97.37415728,109.21704379562,29.0,56.0,14079.0,0.1208449974656105,63.59103905,1249959.0,2992547.0,6631.83568738577,18.346,6.062,-0.96,12.539,29.7,76.816,-47.174,-15.588,16.527,0.631
ALB,Albania,2007,652275603.722803,2161936583.38148,91.3288155181303,37.0,46.3,11.6177916266367,28.2478654166425,54.9542146887506,10677324144.4289,5.98325951855567,3460.0,23.9542940151917,96.1924133300781,3.27592992782593,15.9700002670288,3.46078583569573,100.0,97.51185919,108.394781021898,30.0,68.0,15335.0,0.087569996714592,78.03664144,1231498.0,2970017.0,7291.23975121019,17.24,5.752,-0.866,12.07,30.354,77.549,-43.019,-14.354,15.292,0.556
ALB,Albania,2008,1247181714.30558,2363791896.73249,94.3617275795417,10.0,50.0,9.47504048519441,25.3024181160681,52.1493333802176,12881353507.8539,7.50004143020151,4040.0,17.7309235239816,92.3935928344727,3.3324776825151945,13.0600004196167,3.09723004393071,100.0,97.64964343,107.566204379562,30.0,57.0,15007.0,0.154119998216629,63.00230139,1212147.0,2947314.0,8228.33710618171,15.739,5.298,-0.779,11.868,31.012,77.653,-38.736,-13.039,14.097,0.498
ALB,Albania,2009,1345415233.65619,2368942443.29456,96.5008344308021,6.0,44.0,1.04963195795304,25.2407486083138,49.8541657924919,12044208085.864,3.35428934987461,4280.0,17.335894541666,91.0514907836914,3.3324776825151945,13.6700000762939,2.85902260444178,100.0,97.78751001,106.843759124088,30.0,69.0,15707.0,0.1208449974656105,84.07120051,1258916.0,2927519.0,8813.25200258571,14.83,5.031,-0.658,11.841,31.65,77.781,-34.116,-11.574,12.957,0.452
ALB,Albania,2010,1089898207.57431,2540673823.18045,100.0,6.0,40.6,1.94786341589406,27.9794352415409,48.5639550032469,11926922828.9911,3.70693815255319,4360.0,19.9676199217899,88.8362426757813,3.41307497024536,14.0900001525879,4.30796304921017,100.0,97.92545892,106.314635036496,30.0,75.0,14771.0,0.1208449974656105,92.41340015,1270655.0,2913021.0,9637.3453676511,14.321,4.891,-0.515,11.92,32.256,77.936,-29.33,-10.017,11.881,0.414
ALB,Albania,2011,1048706682.05458,2471402724.94026,103.429123247222,6.0,38.7,1.63127965670036,29.2415371390963,51.9770317939697,12890764531.3284,2.54540614450104,4410.0,20.5454557839283,92.9826583862305,3.07999992370605,13.4799995422363,4.84873152744263,100.0,98.06349017,106.02901459854,30.0,79.0,13552.0,0.1208449974656105,106.8724501,1388801.0,2905195.0,10207.7646993323,13.975,4.797,-0.362,12.035,32.819,78.092,-24.465,-8.398,10.889,0.381
ALB,Albania,2012,917994575.801857,2599863597.31882,105.530381748189,5.0,38.8,0.125774054284818,28.9374877608303,47.572712860263,12319830437.3467,1.4172427999078,4360.0,19.6251036733498,98.6721267700195,2.9300000667572,13.3800001144409,5.38761486858166,99.9000015258789,98.20160375,105.854051094891,30.0,84.0,12569.0,0.1208449974656105,121.0154371,1328695.0,2900401.0,10526.241215339,13.509,4.654,-0.222,12.227,33.336,78.064,-19.946,-6.872,10.028,0.355
ALB,Albania,2013,1254150555.51294,2773278107.16848,107.575160377427,5.0,31.7,1.96729207319008,28.9163151372576,46.9573987095321,12776220507.0162,1.00201754071108,4540.0,17.741294209226,89.539176940918,3.53929996490479,15.8699998855591,4.27028419430069,100.0,98.33979966,105.660291970803,29.0,96.0,10104.0,0.1208449974656105,127.67458,1227940.0,2895092.0,10570.9529979079,12.914,4.46,-0.136,12.279,33.812,78.123,-16.845,-5.817,9.351,0.332
ALB,Albania,2014,1149927985.77736,2665215805.2185,109.324187306059,5.0,31.6,3.24750574954665,28.2130014584625,47.19484413802,13228147516.1168,1.77444885260394,4540.0,15.9293874874597,100.984718322754,3.04999995231628,18.0499992370605,4.03962701467766,99.9499969482422,98.47807791,105.441751824818,29.0,111.0,10156.0,0.1208449974656105,116.4887372,1256110.0,2889104.0,11259.2645003792,12.382,4.282,-0.066,12.15,34.256,78.407,-14.265,-4.934,8.866,0.311
ALB,Albania,2015,989578334.828615,3138517990.16501,113.151854885974,5.0,36.9,0.898823137809984,27.2673911512668,44.5336151883802,11386850129.8411,2.21872637517804,4390.0,16.8639814035927,98.8615875244141,3.43796992301941,17.1900005340576,2.21413141700259,99.9800033569336,98.61643849,105.135145985401,29.0,109.0,10404.0,0.1208449974656105,117.9871153,1308343.0,2880703.0,11282.7935754788,10.891,3.771,-0.047,11.718,34.688,78.644,-12.24,-4.238,8.569,0.291
ALB,Albania,2016,1044389554.85795,3108607051.81759,112.736228649787,5.0,36.9,2.43785099085943,28.9778991754721,45.8319636476989,11861199830.8396,3.31498068384137,4320.0,17.0490732471495,99.8815536499023,3.96209001541138,15.4200000762939,2.73694779046898,99.8899993896484,98.7548814,104.967189781022,32.0,141.0,11060.0,0.1208449974656105,116.9622462,1354998.0,2876101.0,11540.0255610802,9.392,3.254,-0.052,11.289,35.121,78.86,-10.887,-3.772,8.444,0.276
ALB,Albania,2017,1022757857.07377,3588583656.8278,115.059269640307,5.0,37.3,2.53119543762148,31.5698080476189,46.624465948041,13019689336.6919,3.80222740040676,4290.0,16.5293641587755,101.983703613281,3.61173009872437,13.6199998855591,2.01097785878705,99.8899993896484,98.89340664,108.14784456848429,32.0,124.0,12168.0,0.1208449974656105,125.9205273,1377319.0,2873457.0,7988.848388784889,7.843,2.72,-0.067,10.87,35.565,79.047,-9.768,-3.387,8.447,0.265
ALB,Albania,2018,1204383363.60476,3893560031.06681,117.392740239274,4.5,37.3,2.89977179885412,31.5719272134517,45.236190919583,15156432309.8977,4.01935968514439,4860.0,16.5472333763493,101.537857055664,3.15490126609802,12.3000001907349,2.2894924438077,100.0,99.03201422,108.14784456848429,32.0,132.0,13512.0,0.1208449974656105,94.36446759,1409389.0,2866376.0,7988.848388784889,6.365,2.209,-0.096,10.517,36.02,79.184,-9.106,-3.16,8.542,0.259
ALB,Albania,2019,1201022154.46643,3763661058.67744,119.049258384382,4.5,36.6,2.32650945992836,31.3042701298034,44.9749244902205,15401830754.0773,2.08806337615015,5230.0,14.3966063450874,103.322746276855,3.91665005683899,11.4700002670288,2.25622918845519,100.0,99.17070413,108.14784456848429,32.0,120.0,15027.0,0.1208449974656105,91.51642864,1433004.0,2854191.0,7988.848388784889,5.363,1.863,-0.122,10.343,36.483,79.282,-8.889,-3.088,8.72,0.259
ALB,Albania,2020,1069744879.65453,4817386149.20461,120.978911881374,15.588235294117647,41.480000000000004,-2.8920626144688,22.7039815429045,37.2477679402658,15131866270.5936,-3.48163037314293,5260.0,13.5030553095609,100.732406616211,3.09999990463257,13.3290004730225,2.11967475154632,100.0,99.30947638,108.14784456848429,32.0,105.0,15523.0,0.1208449974656105,91.35050062,1369908.0,2837849.0,7988.848388784889,-1.435,-0.5,-0.368,10.285,36.904,76.989,-9.117,-3.175,8.825,0.26
ALB,Albania,2021,1218586452.37158,5634561133.54085,123.448662047403,15.588235294117647,41.480000000000004,4.61689650439239,30.6233200288185,43.9123447009596,18255787479.1846,8.51550112324915,6110.0,19.2922621157782,98.1558303833008,3.3324776825151945,11.8190002441406,3.8884457326384694,99.98142860049293,97.97250430809524,108.14784456848429,32.0,109.0,19847.0,0.1208449974656105,92.31992041,1377655.0,2811666.0,7988.848388784889,-3.103,-1.085,-0.48,10.24,37.273,76.463,-10.612,-3.71,8.941,0.261
DZA,Algeria,2000,280100000.0,13556106802.2149,70.4381279952933,21.0,71.67333333333333,3.69778858548369,42.0697177213416,20.7886259146931,54790392746.1939,3.79999999969765,1610.0,44.739516246808016,80.166389465332,6.385956103985125,29.7700004577637,1.0893181129697853,98.9730987548828,91.74035433,13.0928060997422,170.0,169654.0,8015.0,0.25947333251436566,0.279451045,8926622.0,30774621.0,8093.53089306002,446.562,14.506,1.389,19.543,20.732,70.478,-18.994,-0.617,32.563,19.579
DZA,Algeria,2001,1113105540.9,19625060612.8963,73.4148350773088,21.0,71.67333333333333,1.79999999980278,36.6893054432186,22.016858787546,54744712814.8676,3.00000000021079,1680.0,44.739516246808016,86.2977905273438,6.385956103985125,27.2999992370605,1.0893181129697853,98.9668731689453,91.73905235,13.2643164241269,164.0,169417.0,8399.0,0.230279996991158,0.320502702,9145785.0,31200985.0,8416.75268223159,450.948,14.446,1.363,19.433,21.216,70.823,-25.798,-0.826,32.287,19.57
DZA,Algeria,2002,1064960000.0,25151012703.1373,74.4560790953083,21.0,71.67333333333333,5.50000000015459,35.5045367079002,25.6296347395724,56760355865.0082,5.60000000000744,1740.0,44.739516246808016,88.0822982788086,6.385956103985125,25.8999996185303,1.0893181129697853,98.9530563354492,91.73775038,13.4334755262959,158.0,169233.0,12088.0,0.366400003433228,1.423710128,9355943.0,31624696.0,8911.68068021151,458.522,14.489,1.335,19.421,21.701,71.23,-36.255,-1.146,31.135,19.104
DZA,Algeria,2003,637853027.0,35454600266.1696,77.6345748311131,25.0,71.67333333333333,4.19999999999219,38.2488294222687,23.8759436066455,67863828412.6882,7.20000000046512,1940.0,44.739516246808016,89.7199172973633,6.385956103985125,23.7199993133545,1.0893181129697853,98.9340133666992,91.7364484,13.6049753541528,153.0,169032.0,11651.0,0.196229994297028,4.51376415,9556009.0,32055883.0,9621.16094702921,479.447,14.943,1.373,19.959,22.179,71.287,-39.33,-1.226,30.245,19.259
DZA,Algeria,2004,884749028.0,45691652467.4963,80.7103016516726,24.0,71.67333333333333,4.79999999979002,40.0532239019033,25.6481979445179,85332581188.6107,4.29999999976991,2260.0,44.739516246808016,91.3253021240234,6.385956103985125,17.6499996185303,1.0893181129697853,98.9120788574219,91.73514642,13.7845004072653,150.0,169053.0,10650.0,0.163570001721382,15.0181054,9747177.0,32510186.0,10176.6756327083,507.114,15.584,1.441,20.534,22.645,71.762,-38.621,-1.187,28.97,19.246
DZA,Algeria,2005,1155999999.99995,59167068864.0544,81.8260784457657,22.0,76.9,2.7999999992701,47.2051950916585,24.0734058680896,103198223709.439,5.89999999966911,2730.0,51.8568660301317,93.0753936767578,6.385956103985125,15.2700004577637,1.0893181129697853,98.8896102905273,91.73384444,13.9765201071486,148.0,94104.0,12024.0,0.066040001809597,41.45244865,9916026.0,32956690.0,10971.8468673725,535.765,16.223,1.288,21.166,23.09,72.061,-111.256,-3.369,27.805,19.321
DZA,Algeria,2006,1841000000.00008,81462730475.3241,83.7174875822751,22.0,76.9,3.9999999993039,48.8106865549172,21.9193258803364,117027307540.89,1.70000000049772,3130.0,54.5716985836609,83.62890625,4.61999988555908,12.2700004577637,0.927439538299195,98.869010925293,91.73254246,14.1820328835221,147.0,94181.0,8338.0,0.25947333251436566,62.80216467,10077550.0,33435080.0,11332.7898984189,565.013,16.884,1.592,21.831,23.52,72.334,-32.745,-0.979,26.674,19.373
DZA,Algeria,2007,1686736539.70385,114972269711.741,86.7974503902714,22.0,74.2,4.40000000132528,47.0681648423813,24.869964201424,134977082623.78,3.39999999955816,3620.0,56.9418718748394,94.3985137939453,4.96000003814697,13.789999961853,0.793163550675366,98.8529357910156,91.73124049,14.401267980552,148.0,94137.0,10599.0,0.25947333251436566,81.10540402,10244513.0,33983827.0,11843.7192081941,602.285,17.705,1.663,22.65,23.934,72.602,-37.062,-1.09,25.644,19.629
DZA,Algeria,2008,2638607033.75183,148098646076.637,91.0145831804057,22.0,74.2,8.19999999945826,47.9733430015871,28.7111751636951,171000699876.747,2.40000000008489,4230.0,57.4137883441895,112.97664642334,4.33701992034912,11.3299999237061,0.944412023470712,99.3000030517578,91.72993851,14.6366584933704,148.0,94094.0,9044.0,0.25947333251436566,78.19436226,10402785.0,34569592.0,12162.2643470867,640.235,18.503,1.754,23.413,24.326,72.941,-33.931,-0.981,24.652,19.851
